日付,曜日,駅,定期（通勤）,定期（通学）,IC大人,IC小児,,,
2019/8/20,火,三宮,13914,2468,19211,66,,,
2019/8/20,火,西神中央,6327,1444,6945,24,,,
2019/8/21,水,三宮,13819,2532,19838,54,,,
2019/8/21,水,西神中央,6256,1503,7354,45,,,
2019/8/22,木,三宮,14039,2677,20115,89,,,
2019/8/22,木,西神中央,6269,1501,7386,42,,,
2019/8/23,金,三宮,13930,2624,21437,79,,,
2019/8/23,金,西神中央,6195,1452,7325,42,,,
2019/8/24,土,三宮,6648,2176,18274,66,,,
2019/8/24,土,西神中央,2436,1111,4967,28,,,
2019/8/25,日,三宮,5271,1845,16143,68,,,
2019/8/25,日,西神中央,1708,898,3798,24,,,
2019/8/26,月,三宮,14021,2617,18225,48,,,
2019/8/26,月,西神中央,6326,1385,6774,41,,,
2019/8/27,火,三宮,14276,2691,18086,35,,,
2019/8/27,火,西神中央,6331,1397,6641,27,,,
2019/8/28,水,三宮,13999,2619,18255,36,,,
2019/8/28,水,西神中央,6314,1311,6326,34,,,
2019/8/29,木,三宮,14274,2907,19667,34,,,
2019/8/29,木,西神中央,6384,1379,6896,27,,,
2019/8/30,金,三宮,14273,2791,20186,39,,,
2019/8/30,金,西神中央,6327,1280,6700,20,,,
2019/8/31,土,三宮,6730,2283,18208,53,,,
2019/8/31,土,西神中央,2438,1060,4812,20,,,
2019/9/1,日,三宮,5235,1785,15806,68,,,
2019/9/1,日,西神中央,1747,825,3826,28,,,
2019/9/2,月,三宮,14355,3467,16262,32,,,
2019/9/2,月,西神中央,6495,2355,6684,34,,,
2019/9/3,火,三宮,14436,3619,18374,39,,,
2019/9/3,火,西神中央,6514,2337,6986,34,,,
2019/9/4,水,三宮,14262,3827,18431,51,,,
2019/9/4,水,西神中央,6526,2386,6877,27,,,
2019/9/5,木,三宮,14360,3866,19741,45,,,
2019/9/5,木,西神中央,6566,2367,7000,37,,,
2019/9/6,金,三宮,14266,3909,20234,42,,,
2019/9/6,金,西神中央,6407,2387,7155,34,,,
2019/9/7,土,三宮,6804,2730,18348,80,,,
2019/9/7,土,西神中央,2426,1463,4862,52,,,
